enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
11338,city_114,0.93,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0
27963,city_98,0.95,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,160,1
8571,city_21,0.62,Male,Has relevent experience,Full time course,Graduate,STEM,2,18172,NGO,2,101,0
16303,city_114,0.93,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,,1,46,0
20576,city_97,0.93,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0
32966,city_21,0.62,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1
18819,city_50,0.90,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0
14199,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0
7666,city_21,0.62,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0
13915,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20,1
10555,city_173,0.88,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0
16040,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0
32826,city_138,0.84,Male,Has relevent experience,Full time course,Masters,STEM,7,,,1,45,0
13253,city_82,0.69,Male,Has relevent experience,Full time course,Graduate,STEM,11,18172,Pvt Ltd,2,109,0
15637,city_67,0.86,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0
28074,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,17,0
23012,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,0
16110,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1
24530,city_114,0.93,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0
32776,city_64,0.67,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,,,4,290,0
1907,city_102,0.80,Male,No relevent experience,no_enrollment,High School,,2,<10,NGO,never,145,0
3116,city_21,0.62,Male,No relevent experience,no_enrollment,,,3,,,1,24,0
24829,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1
1265,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0
22098,city_90,0.70,Female,No relevent experience,Full time course,Masters,STEM,5,,,4,21,1
13342,city_21,0.62,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0
24608,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0
20081,city_57,0.87,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,156,0
24796,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0
1261,city_73,0.75,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,2,100,1
3396,city_67,0.86,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102,0
4283,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,4,,,never,52,0
2003,city_103,0.92,Male,Has relevent experience,Full time course,High School,,4,,,1,112,1
31786,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0
23455,city_21,0.62,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,1
19882,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,72,0
28817,city_89,0.93,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1
4656,city_114,0.93,Male,No relevent experience,no_enrollment,High School,,6,,Pvt Ltd,never,28,0
7280,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,0
16903,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0
26241,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,33,0
32092,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,0
3766,city_150,0.70,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,0
30496,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,0
7189,city_73,0.75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,0
29497,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,1
31593,city_67,0.86,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,114,0
11986,city_90,0.70,Male,Has relevent experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15,0
14835,city_173,0.88,Female,Has relevent experience,Part time course,High School,,2,100-500,NGO,1,22,0
3728,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,0
3024,city_98,0.95,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246,0
23508,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,18172,Pvt Ltd,1,22,0
29457,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81,0
27708,city_94,0.70,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,,,24,1
3065,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,50,0
29226,city_104,0.92,Male,No relevent experience,Full time course,High School,,6,,,never,15,0
5493,city_28,0.94,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,18172,Pvt Ltd,>4,31,0
2891,city_114,0.93,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84,0
32509,city_136,0.90,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42,0
907,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,0
29526,city_115,0.79,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,18172,Pvt Ltd,>4,42,1
10956,city_94,0.70,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,0
26099,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,0
26163,city_21,0.62,Male,No relevent experience,Full time course,Masters,STEM,2,,,never,8,0
4120,city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,,,3,17,1
7335,city_83,0.92,Male,No relevent experience,no_enrollment,High School,,1,,,1,33,0
706,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,never,38,0
9890,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178,0
32683,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11,0
27104,city_36,0.89,Male,Has relevent experience,no_enrollment,High School,,>20,,,never,87,0
7731,city_65,0.80,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,,,never,84,0
31943,city_71,0.88,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,2,32,0
33339,city_21,0.62,Male,No relevent experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39,0
29529,city_165,0.90,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,55,1
32095,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104,0
30098,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,>4,8,0
23825,city_21,0.62,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,102,0
30695,city_21,0.62,Male,No relevent experience,Full time course,Graduate,STEM,3,,Pvt Ltd,never,42,0
24936,city_21,0.62,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,88,0
31602,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,7,0
5278,city_21,0.62,Male,No relevent experience,no_enrollment,,,3,,Pvt Ltd,never,218,0
16814,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,0
19249,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83,0
9475,city_28,0.94,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,0
4865,city_114,0.93,Male,No relevent experience,Part time course,Phd,STEM,>20,50-99,,>4,10,0
20881,city_28,0.94,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,0
26002,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,80,1
8528,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,>4,108,0
6141,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,2,45,0
27667,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,,,never,77,0
2821,city_114,0.93,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,2,8,0
25495,city_142,0.73,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,>4,37,0
28015,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,2,162,0
405,city_165,0.90,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,4,4,0
13891,city_71,0.88,Female,No relevent experience,no_enrollment,Phd,STEM,3,1000-4999,Public Sector,1,41,0
399,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,190,0
8751,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Public Sector,1,11,0
20744,city_103,0.92,Male,No relevent experience,Full time course,High School,,3,10000+,Pvt Ltd,1,30,0
25380,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,,>4,39,0
24617,city_102,0.80,Male,Has relevent experience,Full time course,High School,,9,,,1,16,0
12509,city_114,0.93,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,5,0
25473,city_26,0.70,Male,No relevent experience,Full time course,High School,,8,,,never,39,0
13083,city_114,0.93,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,>4,29,0
15922,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,44,0
6685,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,47,0
28838,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,>4,74,0
24082,city_21,0.62,Male,Has relevent experience,no_enrollment,Masters,STEM,6,18172,Pvt Ltd,1,8,1
1020,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,1,162,0
13135,city_138,0.84,Male,Has relevent experience,no_enrollment,Masters,STEM,14,,,1,6,0
14578,city_64,0.67,Male,Has relevent experience,Part time course,Graduate,STEM,9,18172,Pvt Ltd,1,19,1
16496,city_21,0.62,Male,No relevent experience,,Graduate,STEM,<1,,,1,107,1
16537,city_136,0.90,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,,>4,134,0
17358,city_114,0.93,Male,Has relevent experience,no_enrollment,Masters,STEM,11,18172,Early Stage Startup,1,40,0
21933,city_71,0.88,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,11,0
7342,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,,3,102,0
5630,city_21,0.62,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,100,0
24152,city_83,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,3,10000+,Pvt Ltd,never,30,0
22319,city_21,0.62,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,,,1,14,1
30912,city_83,0.92,Male,No relevent experience,no_enrollment,Primary School,,1,,Pvt Ltd,never,103,0
20976,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,5,1000-4999,Public Sector,2,40,0
13150,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,27,0
12206,city_114,0.93,Male,No relevent experience,no_enrollment,High School,,10,100-500,Pvt Ltd,>4,46,0
9407,city_114,0.93,Male,Has relevent experience,no_enrollment,High School,,7,50-99,Pvt Ltd,>4,110,0
13152,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Funded Startup,1,96,0
25418,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,6,,,1,240,0
22689,city_98,0.95,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Funded Startup,4,42,0
5104,city_75,0.94,Male,Has relevent experience,no_enrollment,Masters,STEM,7,,,1,16,1
13994,city_12,0.64,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,never,40,1
27064,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Funded Startup,2,94,0
9571,city_173,0.88,Male,No relevent experience,Part time course,Graduate,STEM,10,18172,Early Stage Startup,1,25,0
30854,city_43,0.52,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Early Stage Startup,1,11,0
29640,city_90,0.70,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,,,1,23,0
17519,city_142,0.73,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,18172,Pvt Ltd,2,113,0
6085,city_104,0.92,Male,No relevent experience,Full time course,Graduate,STEM,2,,,1,39,1
31692,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,>20,10000+,Pvt Ltd,1,40,0
6052,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,56,0
12934,city_114,0.93,Male,Has relevent experience,Part time course,Graduate,STEM,19,500-999,Pvt Ltd,2,64,0
30400,city_73,0.75,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,51,0
26419,city_67,0.86,Female,Has relevent experience,Full time course,Graduate,STEM,6,1000-4999,Pvt Ltd,2,41,0
12117,city_74,0.58,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,18172,Pvt Ltd,1,320,0
28847,city_136,0.90,Male,Has relevent experience,no_enrollment,Masters,STEM,7,,,never,20,0
30472,city_21,0.62,Male,No relevent experience,Full time course,,,4,1000-4999,Pvt Ltd,1,9,1
32534,city_102,0.80,Male,Has relevent experience,Full time course,Graduate,STEM,9,5000-9999,Pvt Ltd,1,74,0
22395,city_21,0.62,Male,Has relevent experience,no_enrollment,Masters,STEM,3,,Public Sector,1,129,1
4876,city_67,0.86,Female,Has relevent experience,no_enrollment,Masters,STEM,10,,,1,42,0
26135,city_103,0.92,Male,No relevent experience,Full time course,High School,,3,,,1,126,1
2793,city_83,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,18172,Pvt Ltd,>4,166,0
25174,city_61,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,50-99,Pvt Ltd,1,110,0
5593,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,>20,,,1,37,0
14003,city_102,0.80,Female,Has relevent experience,Part time course,Graduate,STEM,2,,,1,95,1
33057,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,29,1
30484,city_114,0.93,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,31,0
14688,city_116,0.74,Male,No relevent experience,Full time course,Masters,STEM,11,50-99,Pvt Ltd,>4,97,0
25459,city_114,0.93,Male,No relevent experience,no_enrollment,Primary School,,3,,,never,16,0
23657,city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,,4,,,never,14,0
20322,city_102,0.80,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,>4,206,0
22194,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,2,18172,Funded Startup,1,204,0
31401,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,2,116,0
20376,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,25,1
6790,city_90,0.70,Male,Has relevent experience,Full time course,Masters,STEM,15,,,1,100,0
10102,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,10000+,Pvt Ltd,never,107,0
10338,city_157,0.77,Male,Has relevent experience,Part time course,Masters,STEM,11,,,1,17,0
15701,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,140,0
21218,city_75,0.94,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,10000+,Pvt Ltd,2,75,0
10752,city_67,0.86,Female,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,2,42,1
17460,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,1,22,0
9384,city_61,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,>4,143,0
4269,city_67,0.86,Female,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,2,72,0
14935,city_103,0.92,Male,Has relevent experience,no_enrollment,High School,,11,500-999,Pvt Ltd,1,7,0
28033,city_136,0.90,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Early Stage Startup,1,182,0
1568,city_99,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,4,50,0
15465,city_100,0.89,Male,Has relevent experience,no_enrollment,High School,,2,50-99,Public Sector,1,82,0
26233,city_16,0.91,Male,Has relevent experience,,Graduate,STEM,2,10000+,Pvt Ltd,1,58,0
29440,city_21,0.62,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,,2,60,1
32652,city_65,0.80,Male,Has relevent experience,Full time course,Masters,STEM,5,100-500,Pvt Ltd,4,124,0
12875,city_152,0.70,Male,No relevent experience,Full time course,Masters,STEM,3,,NGO,2,57,1
